Action ID,Package ID,Package Decription,Package Groups,Strategy ID,Strategy,ID,Asset Name,Interval,Interval Units,Recommended Resource,Shutdown Required,Reference Column,Job Plan ID,Action Name,Plan Description,MyPlant Document Number,Oracle Activity,,
Earthing-Switchboard-TINTA_A01,Tintaburra Satellite - Alternator  - Diesel Engine,Tintaburra Satellite - Alternator  - Diesel Engine,1650 - Tintaburra Satellite,TINTA ALT 1650-EPL-001,TINTA,ALT,1650-EPL-001,5,Y,01,00,TINTA ALT 5Y-01-00,TINTA ALT 5Y-01-00-001,Carry out LV Earth Resistance Testing of main switchboard SWBD-001 and record (as found / as left),"1650-EPL-001 60 Monthly Earthing Test, Generator Switch Board, Alternator Package, Tintaburra Satellite, Tarbat Area",1650-060-PRO-0001.pdf,2708655,001,
Earthing-Switchboard-TINTA_A02,Tintaburra Satellite - Alternator  - Diesel Engine,Tintaburra Satellite - Alternator  - Diesel Engine,1650 - Tintaburra Satellite,TINTA ALT 1650-EPL-001,TINTA,ALT,1650-EPL-001,5,Y,01,00,TINTA ALT 5Y-01-00,TINTA ALT 5Y-01-00-001,Inspect connections and check continuity with main earth bar mounted in main switchboard,"1650-EPL-001 60 Monthly Earthing Test, Generator Switch Board, Alternator Package, Tintaburra Satellite, Tarbat Area",1650-060-PRO-0001.pdf,2708655,001,
Transmitter-Level-TINTA_A01,Tintaburra Satellite - Crude Oil Storage - Tanks,Tintaburra Satellite - Crude Oil Storage - Tanks,1650 - Tintaburra Satellite,TINTA CRUDE STRG 1650-LIT-1062,TINTA,CRUDE STRG,1650-LIT-1062,2,Y,01,00,TINTA CRUDE STRG 2Y-01-00,TINTA CRUDE STRG 2Y-01-00-001,Function Test of 1650-LIT-1062 as per test procedure - High Level Trip Setpoint : 6800 mm and Low Level Trip Setpoint : 400 mm (as found / as left),Tintaburra Satellite Crude Oil Storage 1650-LIT-1062 Oil/Water Storage Tank A Level Indicating Transmitter 2 Yearly PM Test,1650-270-PRO-0001.pdf,2708657,001,
Switch-Level-TINTA_A01,Tintaburra Satellite - Crude Oil Storage - Tanks,Tintaburra Satellite - Crude Oil Storage - Tanks,1650 - Tintaburra Satellite,TINTA CRUDE STRG 1650-LSHH-1065,TINTA,CRUDE STRG,1650-LSHH-1065,2,Y,01,00,TINTA CRUDE STRG 2Y-01-00,TINTA CRUDE STRG 2Y-01-00-001,Function Test LSHH switch,Tintaburra Satellite Crude Oil Storage 1650-LSHH-1065 Oil/Water Storage Tank A/B Level Switch High High 2 Yearly PM Test,1650-270-PRO-0002.pdf,2708658,001,
Switch-Level-TINTA_A02,Tintaburra Satellite - Crude Oil Storage - Tanks,Tintaburra Satellite - Crude Oil Storage - Tanks,1650 - Tintaburra Satellite,TINTA CRUDE STRG 1650-LSHH-1065,TINTA,CRUDE STRG,1650-LSHH-1065,2,Y,01,00,TINTA CRUDE STRG 2Y-01-00,TINTA CRUDE STRG 2Y-01-00-001,"Inspect physical connections and verify the fittings are in good condition, check all labels are intact and readable",Tintaburra Satellite Crude Oil Storage 1650-LSHH-1065 Oil/Water Storage Tank A/B Level Switch High High 2 Yearly PM Test,1650-270-PRO-0002.pdf,2708658,001,
Switch-Level-TINTA_A02,Tintaburra Satellite - Crude Oil Storage - Tanks,Tintaburra Satellite - Crude Oil Storage - Tanks,1650 - Tintaburra Satellite,TINTA CRUDE STRG 1650-LSHH-1064,TINTA,CRUDE STRG,1650-LSHH-1064,2,Y,01,00,TINTA CRUDE STRG 2Y-01-00,TINTA CRUDE STRG 2Y-01-00-001,"Inspect physical connections and verify the fittings are in good condition, check all labels are intact and readable",Tintaburra Satellite Crude Oil Storage 1650-LSHH-1065 Oil/Water Storage Tank A/B Level Switch High High 2 Yearly PM Test,1650-270-PRO-0002.pdf,2708658,001,
Switch-Level-TINTA_A01,Tintaburra Satellite - Crude Oil Storage - Tanks,Tintaburra Satellite - Crude Oil Storage - Tanks,1650 - Tintaburra Satellite,TINTA CRUDE STRG 1650-LSHH-1064,TINTA,CRUDE STRG,1650-LSHH-1064,2,Y,01,00,TINTA CRUDE STRG 2Y-01-00,TINTA CRUDE STRG 2Y-01-00-001,Function Test LSHH switch,Tintaburra Satellite Crude Oil Storage 1650-LSHH-1065 Oil/Water Storage Tank A/B Level Switch High High 2 Yearly PM Test,1650-270-PRO-0002.pdf,2708658,001,
Transmitter-Level-TINTA_A02,Tintaburra Satellite - Crude Oil Storage - Tanks,Tintaburra Satellite - Crude Oil Storage - Tanks,1650 - Tintaburra Satellite,TINTA CRUDE STRG 1650-LIT-1062,TINTA,CRUDE STRG,1650-LIT-1062,2,Y,01,00,TINTA CRUDE STRG 2Y-01-00,TINTA CRUDE STRG 2Y-01-00-001,"Inspect 1650-LIT-1062 physical connections and verify the fittings are in good condition, check all labels are intact and readable",Tintaburra Satellite Crude Oil Storage 1650-LIT-1062 Oil/Water Storage Tank A Level Indicating Transmitter 2 Yearly PM Test,1650-270-PRO-0001.pdf,2708657,001,
Earth Reel-TINTA_A03,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,1650 - Tintaburra Satellite,TINTA EXP 1650-P-002,TINTA,EXP,1650-P-002,6,M,01,00,TINTA EXP 6M-01-00,TINTA EXP 6M-01-00-001,"Inspect the static earth cable from the Earth Reel to the on / off static earth switch, renew / repair if U/V damaged (10sq mm Earth cable).",Tintaburra  Area Earth Reel Electrical Testing,TEST-PM-PU.CE-003606-J-2003.docx,2736627,001,
Earth Reel-TINTA_A04,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,1650 - Tintaburra Satellite,TINTA EXP 1650-P-002,TINTA,EXP,1650-P-002,6,M,01,00,TINTA EXP 6M-01-00,TINTA EXP 6M-01-00-001,"Check the static earth switch for on / off operation, visually inspect the on / off Ex rated switch housing overall condition and mounting",Tintaburra  Area Earth Reel Electrical Testing,TEST-PM-PU.CE-003606-J-2003.docx,2736627,001,
