Action ID,Template ID,Package ID,Package Description,Package Groups,Strategy ID,Strategy ,ID,Asset Name,Interval,Interval Units,Recommended Resource,Shutdown Required,Reference Column,Job Plan ID,Action Name,Plan Description,MyPlant Document Number,Oracle Activity,
Pump-NARC_A05,Pump-NARC,Narcoonowie Satellite - Export - Transfer Pump Package,Narcoonowie Satellite - Export - Transfer Pump Package,4800 - Narcoonowie Satellite,NARC EXP 4800-P-30 ,NARC,EXP,4800-P-30,3,M,04,00,NARC EXP 3M-04-00,NARC EXP 3M-04-00-001,"Check and adjust inlet and exhaust tappets to the following inlet (cold)0.004, exhaust (cold)",Narcoonowie Transfer Pump 30 Service - Quarterly,2208919.docx,SERVICE-XB-00340,001
Pump-NARC_A02,Pump-NARC,Narcoonowie Satellite - Export - Transfer Pump Package,Narcoonowie Satellite - Export - Transfer Pump Package,4800 - Narcoonowie Satellite,NARC EXP 4800-P-30 ,NARC,EXP,4800-P-30,3,M,04,00,NARC EXP 3M-04-00,NARC EXP 3M-04-00-001,Carry out oil change (RIMULAX),Narcoonowie Transfer Pump 30 Service - Quarterly,2208919.docx,SERVICE-XB-00340,001
Pump-NARC_A01,Pump-NARC,Narcoonowie Satellite - Export - Transfer Pump Package,Narcoonowie Satellite - Export - Transfer Pump Package,4800 - Narcoonowie Satellite,NARC EXP 4800-P-30 ,NARC,EXP,4800-P-30,3,M,04,00,NARC EXP 3M-04-00,NARC EXP 3M-04-00-001,Fit new oil filter,Narcoonowie Transfer Pump 30 Service - Quarterly,2208919.docx,SERVICE-XB-00340,001
Pump-NARC_A06,Pump-NARC,Narcoonowie Satellite - Export - Transfer Pump Package,Narcoonowie Satellite - Export - Transfer Pump Package,4800 - Narcoonowie Satellite,NARC EXP 4800-P-30 ,NARC,EXP,4800-P-30,3,M,04,00,NARC EXP 3M-04-00,NARC EXP 3M-04-00-001,Check pump and engine number,Narcoonowie Transfer Pump 30 Service - Quarterly,2208919.docx,SERVICE-XB-00340,001
Pump-NARC_A04,Pump-NARC,Narcoonowie Satellite - Export - Transfer Pump Package,Narcoonowie Satellite - Export - Transfer Pump Package,4800 - Narcoonowie Satellite,NARC EXP 4800-P-30 ,NARC,EXP,4800-P-30,3,M,04,00,NARC EXP 3M-04-00,NARC EXP 3M-04-00-001,Remove and inspect air filter (dry type) replace if necessary,Narcoonowie Transfer Pump 30 Service - Quarterly,2208919.docx,SERVICE-XB-00340,001
Pump-NARC_A03,Pump-NARC,Narcoonowie Satellite - Export - Transfer Pump Package,Narcoonowie Satellite - Export - Transfer Pump Package,4800 - Narcoonowie Satellite,NARC EXP 4800-P-30 ,NARC,EXP,4800-P-30,3,M,04,00,NARC EXP 3M-04-00,NARC EXP 3M-04-00-001,Fit new fuel filter,Narcoonowie Transfer Pump 30 Service - Quarterly,2208919.docx,SERVICE-XB-00340,001
Tank-NARC_A02,Tank-NARC,Narcoonowie Satellite - Storage - Tanks,Narcoonowie Satellite - Storage - Tanks,4800 - Narcoonowie Satellite,NARC STRG 4800-TK-005 ,NARC,STRG,4800-TK-005,10,Y,04,00,NARC STRG 10Y-04-00,NARC STRG 10Y-04-00-001,Enter Tank If Required And Clean Internal Surfaces As Required,Narcoonowie Dewatering Tanks - Internal Cleaning,2645160.docx,INSPECT-XB-00028,001
Tank-NARC_A02,Tank-NARC,Narcoonowie Satellite - Storage - Tanks,Narcoonowie Satellite - Storage - Tanks,4800 - Narcoonowie Satellite,NARC STRG 4800-TK-008 ,NARC,STRG,4800-TK-008,10,Y,04,00,NARC STRG 10Y-04-00,NARC STRG 10Y-04-00-001,Enter Tank If Required And Clean Internal Surfaces As Required,Narcoonowie Dewatering Tanks - Internal Cleaning,2645160.docx,INSPECT-XB-00028,001
Tank-NARC_A03,Tank-NARC,Narcoonowie Satellite - Storage - Tanks,Narcoonowie Satellite - Storage - Tanks,4800 - Narcoonowie Satellite,NARC STRG 4800-TK-008 ,NARC,STRG,4800-TK-008,10,Y,04,00,NARC STRG 10Y-04-00,NARC STRG 10Y-04-00-001,Inspect All Flanges And Joints For Leaks Once Tank Back In Operation,Narcoonowie Dewatering Tanks - Internal Cleaning,2645160.docx,INSPECT-XB-00028,001
Tank-NARC_A01,Tank-NARC,Narcoonowie Satellite - Storage - Tanks,Narcoonowie Satellite - Storage - Tanks,4800 - Narcoonowie Satellite,NARC STRG 4800-TK-008 ,NARC,STRG,4800-TK-008,10,Y,04,00,NARC STRG 10Y-04-00,NARC STRG 10Y-04-00-001,Clean Debis And Build Up From Tank Through Manway Door,Narcoonowie Dewatering Tanks - Internal Cleaning,2645160.docx,INSPECT-XB-00028,001
