Action ID,Package ID,Package Decription,Package Groups,Strategy ID,Strategy,ID,Asset Name,Interval,Interval Units,Recommended Resource,Shutdown Required,Reference Column,Job Plan ID,Action Name,Plan Description,MyPlant Document Number,Oracle Activity,
HVAC-TICK_A02,Tickalara Satellite - Buildings - Office,Tickalara Satellite - Buildings - Office,3800 - Tickalara Satellite,KICK BLD 3800-SAT-BLD,KICK,BLD,3800-SAT-BLD,6,M,11,00,KICK BLD 6M-11-00,KICK BLD 6M-11-00-001,Carry out service on split system (Indoor unit),South West Queensland Air Conditioning 6 Month Service - Route E,SERVICE-PM-SR.BU-900168-J-2001.docx,2216177,001
HVAC-TICK_A01,Tickalara Satellite - Buildings - Office,Tickalara Satellite - Buildings - Office,3800 - Tickalara Satellite,KICK BLD 3800-SAT-BLD,KICK,BLD,3800-SAT-BLD,6,M,11,00,KICK BLD 6M-11-00,KICK BLD 6M-11-00-001,Carry out service on split system (Outdoor unit),South West Queensland Air Conditioning 6 Month Service - Route E,SERVICE-PM-SR.BU-900168-J-2001.docx,2216177,001
HVAC-TICK_A03,Tickalara Satellite - Buildings - Office,Tickalara Satellite - Buildings - Office,3800 - Tickalara Satellite,KICK BLD 3800-SAT-BLD,KICK,BLD,3800-SAT-BLD,12,M,11,00,KICK BLD 12M-11-00,KICK BLD 12M-11-00-001,Carry out service on RAC,South West Queensland Air Conditioning Annual Service - Route E,SERVICE-PM-SR.BU-900168-J-2004.docx,2702381,001
Hatch-Tank-TICK_A01,Tickalara Satellite - Crude Oil Storage - Dewatering / Test Tanks,Tickalara Satellite - Crude Oil Storage - Dewatering / Test Tanks,3800 - Tickalara Satellite,KICK CRUDE OIL STRG 3800-TK-001B,KICK,CRUDE OIL STRG,3800-TK-001B,12,M,04,00,KICK CRUDE OIL STRG 12M-04-00,KICK CRUDE OIL STRG 12M-04-00-001,Visually inspect pins for wear and replace as required,Dewatering Tank 1B - 1C Annual Explosive Hatch Mechanical Service,2239059.docx,2239059,001
Hatch-Tank-TICK_A01,Tickalara Satellite - Crude Oil Storage - Dewatering / Test Tanks,Tickalara Satellite - Crude Oil Storage - Dewatering / Test Tanks,3800 - Tickalara Satellite,KICK CRUDE OIL STRG 3800-TK-001C,KICK,CRUDE OIL STRG,3800-TK-001C,12,M,04,00,KICK CRUDE OIL STRG 12M-04-00,KICK CRUDE OIL STRG 12M-04-00-001,Visually inspect pins for wear and replace as required,Dewatering Tank 1B - 1C Annual Explosive Hatch Mechanical Service,2239059.docx,2239059,001
Hatch-Tank-TICK_A02,Tickalara Satellite - Crude Oil Storage - Dewatering / Test Tanks,Tickalara Satellite - Crude Oil Storage - Dewatering / Test Tanks,3800 - Tickalara Satellite,KICK CRUDE OIL STRG 3800-TK-001C,KICK,CRUDE OIL STRG,3800-TK-001C,12,M,04,00,KICK CRUDE OIL STRG 12M-04-00,KICK CRUDE OIL STRG 12M-04-00-001,Visually inspect explosive hatch for holes and cracks,Dewatering Tank 1B - 1C Annual Explosive Hatch Mechanical Service,2239059.docx,2239059,001
Hatch-Tank-TICK_A02,Tickalara Satellite - Crude Oil Storage - Dewatering / Test Tanks,Tickalara Satellite - Crude Oil Storage - Dewatering / Test Tanks,3800 - Tickalara Satellite,KICK CRUDE OIL STRG 3800-TK-001B,KICK,CRUDE OIL STRG,3800-TK-001B,12,M,04,00,KICK CRUDE OIL STRG 12M-04-00,KICK CRUDE OIL STRG 12M-04-00-001,Visually inspect explosive hatch for holes and cracks,Dewatering Tank 1B - 1C Annual Explosive Hatch Mechanical Service,2239059.docx,2239059,001
Meter-Flow-TICK_A01,Tickalara Satellite - Export - Control and Monitor,Tickalara Satellite - Export - Control and Monitor,3800 - Tickalara Satellite,KICK EXP 3800-FE-0129,KICK,EXP,3800-FE-0129,5,Y,01,00,KICK EXP 5Y-01-00,KICK EXP 5Y-01-00-001,Re-certification export metering master flow meter,Tickalara Export Metering Master Flow Meter for Five Yearly Re-Certification,2241340.docx,2241340,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A012,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001A,KICK,EXP,3800-P-001A,12,M,01,00,KICK EXP 12M-01-00,KICK EXP 12M-01-00-001,Overhaul High Engine Water Temperature Shutdown Switch,Tickalara Duraqual Shipping Pump PF753 Panel Inst/Elec Service,2644909.docx,2644909,001
Pump-Plunger  Duraqual PF753-135L65-TICK_A012,Tickalara Satellite - Export - Shipping Pumps,Tickalara Satellite - Export - Shipping Pumps,3800 - Tickalara Satellite,KICK EXP 3800-P-001B,KICK,EXP,3800-P-001B,12,M,01,00,KICK EXP 12M-01-00,KICK EXP 12M-01-00-001,Overhaul High Engine Water Temperature Shutdown Switch,Tickalara Duraqual Shipping Pump PF753 Panel Inst/Elec Service,2644909.docx,2644909,001
