Action ID,Package ID,Package Decription,Package Groups,Strategy ID,Strategy,ID,Asset Name,Interval,Interval Units,Recommended Resource,Shutdown Required,Reference Column,Job Plan ID,Action Name,Plan Description,MyPlant Document Number,Oracle Activity,
Tank-Oil Storage-TANT_A04,Tantanna Satellite - Export and Metering - Export Package,Tantanna Satellite - Export and Metering - Export Package,5600 - Tantanna Satellite,TANT EXP 5600-TK-008,TANT,EXP,5600-TK-008,4,Y,04,00,TANT EXP 4Y-04-00,TANT EXP 4Y-04-00-001,Reconnect Flanges,Tantanna Satellite 5600-TK-009 Oil Storage Export Tank Tank Cat 4 Drain Line Cleaning,2228383.docx,2228383,001
Air Reciever-TANT_A01,Tantanna Satellite - Export and Metering - Export Package,Tantanna Satellite - Export and Metering - Export Package,5600 - Tantanna Satellite,TANT EXP 5600-V-002,TANT,EXP,5600-V-002,1,Y,01,00,TANT EXP 1Y-01-00,TANT EXP 1Y-01-00-001,"Check calibration of pressure switch PSLL 0050 - 250 kPa falling, Setting obtained from P&ID 1045-70-0020. Carry out any adjustments as required",Tantanna Satellite 5600-V-002 Export Pump Air Receiver Annual Inst/Elec Service,2229429.docx,2229429,001
Tank-Oil Storage-TANT_A03,Tantanna Satellite - Export and Metering - Export Package,Tantanna Satellite - Export and Metering - Export Package,5600 - Tantanna Satellite,TANT EXP 5600-TK-008,TANT,EXP,5600-TK-008,4,Y,04,00,TANT EXP 4Y-04-00,TANT EXP 4Y-04-00-001,Flush Drain Lines And Collect Residue For Correct Disposal,Tantanna Satellite 5600-TK-009 Oil Storage Export Tank Tank Cat 4 Drain Line Cleaning,2228383.docx,2228383,001
Tank-Oil Storage-TANT_A01,Tantanna Satellite - Export and Metering - Export Package,Tantanna Satellite - Export and Metering - Export Package,5600 - Tantanna Satellite,TANT EXP 5600-TK-008,TANT,EXP,5600-TK-008,4,Y,04,00,TANT EXP 4Y-04-00,TANT EXP 4Y-04-00-001,Ensure all efforts are made to ensure any spillage is collected and disposed of correctly when breaking flanges and flushing spools,Tantanna Satellite 5600-TK-009 Oil Storage Export Tank Tank Cat 4 Drain Line Cleaning,2228383.docx,2228383,001
Tank-Oil Storage-TANT_A02,Tantanna Satellite - Export and Metering - Export Package,Tantanna Satellite - Export and Metering - Export Package,5600 - Tantanna Satellite,TANT EXP 5600-TK-008,TANT,EXP,5600-TK-008,4,Y,04,00,TANT EXP 4Y-04-00,TANT EXP 4Y-04-00-001,Seperate Flanges Where Possible To Gain Access,Tantanna Satellite 5600-TK-009 Oil Storage Export Tank Tank Cat 4 Drain Line Cleaning,2228383.docx,2228383,001
Tank-Dewatering-TANT_A04,Tantanna Satellite - Inlet Separation - Dewatering Tanks,Tantanna Satellite - Inlet Separation - Dewatering Tanks,5600 - Tantanna Satellite,TANT INL SEP 5600-TK-003,TANT,INL SEP,5600-TK-003,4,Y,04,00,TANT INL SEP 4Y-04-00,TANT INL SEP 4Y-04-00-001,Reconnect Flanges,Tantanna Satellite 5600-TK-001/2/3/7 Inlet Separation Dewatering Tank Cat 4 Drain Line Cleaning,2224048.docx,2224048,001
Tank-Dewatering-TANT_A03,Tantanna Satellite - Inlet Separation - Dewatering Tanks,Tantanna Satellite - Inlet Separation - Dewatering Tanks,5600 - Tantanna Satellite,TANT INL SEP 5600-TK-001,TANT,INL SEP,5600-TK-001,4,Y,04,00,TANT INL SEP 4Y-04-00,TANT INL SEP 4Y-04-00-001,Flush Drain Lines And Collect Residue For Correct Disposal,Tantanna Satellite 5600-TK-001/2/3/7 Inlet Separation Dewatering Tank Cat 4 Drain Line Cleaning,2224048.docx,2224048,001
Tank-Dewatering-TANT_A01,Tantanna Satellite - Inlet Separation - Dewatering Tanks,Tantanna Satellite - Inlet Separation - Dewatering Tanks,5600 - Tantanna Satellite,TANT INL SEP 5600-TK-001,TANT,INL SEP,5600-TK-001,4,Y,04,00,TANT INL SEP 4Y-04-00,TANT INL SEP 4Y-04-00-001,Ensure all efforts are made to ensure any spillage is collected and disposed of correctly when breaking flanges and flushing spools,Tantanna Satellite 5600-TK-001/2/3/7 Inlet Separation Dewatering Tank Cat 4 Drain Line Cleaning,2224048.docx,2224048,001
Tank-Dewatering-TANT_A04,Tantanna Satellite - Inlet Separation - Dewatering Tanks,Tantanna Satellite - Inlet Separation - Dewatering Tanks,5600 - Tantanna Satellite,TANT INL SEP 5600-TK-001,TANT,INL SEP,5600-TK-001,4,Y,04,00,TANT INL SEP 4Y-04-00,TANT INL SEP 4Y-04-00-001,Reconnect Flanges,Tantanna Satellite 5600-TK-001/2/3/7 Inlet Separation Dewatering Tank Cat 4 Drain Line Cleaning,2224048.docx,2224048,001
Tank-Dewatering-TANT_A02,Tantanna Satellite - Inlet Separation - Dewatering Tanks,Tantanna Satellite - Inlet Separation - Dewatering Tanks,5600 - Tantanna Satellite,TANT INL SEP 5600-TK-001,TANT,INL SEP,5600-TK-001,4,Y,04,00,TANT INL SEP 4Y-04-00,TANT INL SEP 4Y-04-00-001,Seperate Flanges Where Possible To Gain Access,Tantanna Satellite 5600-TK-001/2/3/7 Inlet Separation Dewatering Tank Cat 4 Drain Line Cleaning,2224048.docx,2224048,001
Tank-Dewatering-TANT_A03,Tantanna Satellite - Inlet Separation - Dewatering Tanks,Tantanna Satellite - Inlet Separation - Dewatering Tanks,5600 - Tantanna Satellite,TANT INL SEP 5600-TK-002,TANT,INL SEP,5600-TK-002,4,Y,04,00,TANT INL SEP 4Y-04-00,TANT INL SEP 4Y-04-00-001,Flush Drain Lines And Collect Residue For Correct Disposal,Tantanna Satellite 5600-TK-001/2/3/7 Inlet Separation Dewatering Tank Cat 4 Drain Line Cleaning,2224048.docx,2224048,001
Tank-Dewatering-TANT_A01,Tantanna Satellite - Inlet Separation - Dewatering Tanks,Tantanna Satellite - Inlet Separation - Dewatering Tanks,5600 - Tantanna Satellite,TANT INL SEP 5600-TK-002,TANT,INL SEP,5600-TK-002,4,Y,04,00,TANT INL SEP 4Y-04-00,TANT INL SEP 4Y-04-00-001,Ensure all efforts are made to ensure any spillage is collected and disposed of correctly when breaking flanges and flushing spools,Tantanna Satellite 5600-TK-001/2/3/7 Inlet Separation Dewatering Tank Cat 4 Drain Line Cleaning,2224048.docx,2224048,001
Tank-Dewatering-TANT_A02,Tantanna Satellite - Inlet Separation - Dewatering Tanks,Tantanna Satellite - Inlet Separation - Dewatering Tanks,5600 - Tantanna Satellite,TANT INL SEP 5600-TK-002,TANT,INL SEP,5600-TK-002,4,Y,04,00,TANT INL SEP 4Y-04-00,TANT INL SEP 4Y-04-00-001,Seperate Flanges Where Possible To Gain Access,Tantanna Satellite 5600-TK-001/2/3/7 Inlet Separation Dewatering Tank Cat 4 Drain Line Cleaning,2224048.docx,2224048,001
