Tintaburra Satellite - Alternator  - Diesel Engine,TINTA ALT 5Y-01-00-001
Tintaburra Satellite - Alternator  - Diesel Engine,Parent Asset
Tintaburra Satellite - Crude Oil Storage - Tanks,TINTA CRUDE STRG 2Y-01-00-001
Tintaburra Satellite - Crude Oil Storage - Tanks,Managed by Parent Maintenance
Tintaburra Satellite - Crude Oil Storage - Tanks,Managed by Integrity
Tintaburra Satellite - Crude Oil Storage - Tanks,Parent Asset
Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,TINTA EXP 6M-01-00-001
Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Managed by Parent Maintenance
Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Parent Asset
Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Managed by Integrity
Tintaburra Satellite - (Review Items),Parent Asset
Tintaburra Satellite - Crude Fuel Storage - Control and Monitor,Managed by Parent Maintenance
Tintaburra Satellite - Crude Fuel Storage - Control and Monitor,Managed by Integrity
Tintaburra Satellite - Emergency Shutdown Valve - Control and Monitor,Managed by Integrity
Tintaburra Satellite - Fire Water Tank - Control and Monitor,Managed by Integrity
Tintaburra Satellite - Fire Water Tank - Control and Monitor,Managed by Parent Maintenance
Tintaburra Satellite - Fire Water Pump,Parent Asset
Tintaburra Satellite - Piping Area - Pipe Supports And Structures,Parent Asset
Tintaburra Satellite - Production Facilities - Chemical Injection Pump Packages,Parent Asset
Tickalara Satellite - Buildings - Office,KICK BLD 6M-11-00-001
Tickalara Satellite - Buildings - Office,KICK BLD 12M-11-00-001
Tickalara Satellite - Buildings - Office,Managed by Parent Maintenance
Tickalara Satellite - Buildings - Office,Run To Failure-DISTRIBUTION BOARD
Tickalara Satellite - Crude Oil Storage - Dewatering / Test Tanks,KICK CRUDE OIL STRG 12M-04-00-001
Tickalara Satellite - Crude Oil Storage - Dewatering / Test Tanks,Maintenance covered by children
Tickalara Satellite - Crude Oil Storage - Dewatering / Test Tanks,Managed by Parent Maintenance
Tickalara Satellite - Crude Oil Storage - Dewatering / Test Tanks,Managed by Integrity
Tickalara Satellite - Crude Oil Storage - Dewatering / Test Tanks,Run To Failure-TANK
Tickalara Satellite - Crude Oil Storage - Dewatering / Test Tanks,Run To Failure-CONTROLLER
Tickalara Satellite - Export - Control and Monitor,KICK EXP 5Y-01-00-001
Tickalara Satellite - Export - Control and Monitor,Managed by Parent Maintenance
Tickalara Satellite - Export - Control and Monitor,Managed by Integrity
Tickalara Satellite - Export - Shipping Pumps,KICK EXP 12M-01-00-001
